ERM Mass,Voltage (V),Current (mA),Peak Frequency,Depth Measured (mm),Total Depth (mm),Power (mW),,,,42.4 (3 Mass),,
5,7.4,176,108,-8.4,51.8,1302,,,,,,
5,7.4,162,115,-2.5,57.7,1199,,,,,,
5,7.4,162,116,5.9,66.1,1199,,,,,,
5,7.4,162,117,3.5,63.7,1199,,,,,,
5,7.4,162,119,-2.2,58,1199,,,,,,
5,6.4,151,97,-4.9,55.3,966,,,,,,
5,6.4,131,104,-1.9,58.3,838,,,,,,
5,6.4,134,103,-8.2,52,858,,,,,,
5,6.4,132,103,5.8,66,845,,,,,,
5,6.4,130,112,-6.1,60.2,832,,,,,,
5,5.4,114,86,-8.2,52,616,,,,,,
5,5.4,101,91,-3.5,56.7,545,,,,,,
5,5.4,100,91,6.3,66.5,540,,,,,,
5,5.4,97,92,11.7,71.9,524,,,,,,
5,5.4,99,92,7.6,67.8,535,,,,,,
5,4.4,88,73,-17,43.2,387,,,,,,
5,4.4,74,79,-9,51.2,326,,,,,,
5,4.4,71,78,-7.9,52.3,312,,,,,,
5,4.4,74,79,-6,54.2,326,,,,,,
5,4.4,71,78,-7.7,52.5,312,,,,,,
5,3.4,67,57,-30,30.2,228,,,,,,
5,3.4,56,61,-25.6,34.6,190,,,,,,
5,3.4,49,63,-17.9,42.3,167,,,,,,
5,3.4,51,62,-20.9,39.3,173,,,,,,
5,3.4,54,61,-24.7,35.5,184,,,,,,
3,7.4,94,143,-9,51.2,696,,,,,,
3,7.4,92,144,-9.9,50.3,681,,,,,,
3,7.4,91,146,-12.9,47.3,673,,,,,,
3,7.4,89,145,-13.5,46.7,659,,,,,,
3,7.4,89,144,-12.3,47.9,659,,,,,,
3,7.15,88,139,-8.6,51.6,629,,,,,,
3,7.15,85,140,-12,48.2,608,,,,,,
3,7.15,87,140,-12.2,48,622,,,,,,
3,7.15,86,141,-13.4,46.8,615,,,,,,
3,6.5,77,129,-12.3,47.9,501,,,,,,
3,6.5,73,129,-14.7,45.5,475,,,,,,
3,6.5,72,129,-16.4,43.8,468,,,,,,
3,6.5,73,129,-15.4,44.8,475,,,,,,
3,6,67,120,-18.3,41.9,402,,,,,,
3,6,64,120,-14.8,45.4,384,,,,,,
3,6,64,120,-16.9,43.3,384,,,,,,
3,6,63,120,-19.8,40.4,378,,,,,,
3,4.8,47,99,-20.8,39.4,226,,,,,,
3,4.8,46,99,-25.5,34.7,221,,,,,,
3,4.8,46,99,-21.1,39.1,221,,,,,,
3,4.8,46,99,-23.7,36.5,221,,,,,,
