Fixed parameters,,,,,,,,,Constants:,4 fin collar,Brass Probe 42.0g (5 mass),Motor ERM Mass 5,Motor Depth is Max
,Fins,4,,,,,,This is not force,,,,,
,Shell Material,Brass,,,,,,Corrected in code,,4 fin collar ,42.1 (1 mass) ,,
,Total mass,,,,,,,,,4 fin collar,42.4 (3 Mass),,
ERM Mass (g?),Voltage (V),Current (mA),Peak Frequency,Omega (rad/s),Depth Measured (mm),Total Depth (mm),Final Power (mW),Force,,,,,
5,7.40,176,108,679,-8.4,51.8,1302,1151,,,,,
5,7.40,162,115,723,-2.5,57.7,1199,1305,,,,,
5,7.40,162,116,729,5.9,66.1,1199,1328,,,,,
5,7.40,162,117,735,3.5,63.7,1199,1351,,,,,
5,7.40,162,119,748,-2.2,58,1199,1398,,,,,
5,6.40,151,97,609,-4.9,55.3,966,929,,,,,
5,6.40,131,104,653,-1.9,58.3,838,1067,,,,,
5,6.40,134,103,647,-8.2,52,858,1047,,,,,
5,6.40,132,103,647,5.8,66,845,1047,,,,,
5,6.40,130,112,704,-6.1,60.2,832,1238,,,,,
5,5.40,114,86,540,-8.2,52,616,730,,,,,
5,5.40,101,91,572,-3.5,56.7,545,817,,,,,
5,5.40,100,91,572,6.3,66.5,540,817,,,,,
5,5.40,97,92,578,11.7,71.9,524,835,,,,,
5,5.40,99,92,578,7.6,67.8,535,835,,,,,
5,4.40,88,73,459,-17,43.2,387,526,,,,,
5,4.40,74,79,496,-9,51.2,326,616,,,,,
5,4.40,71,78,490,-7.9,52.3,312,600,,,,,
5,4.40,74,79,496,-6,54.2,326,616,,,,,
5,4.40,71,78,490,-7.7,52.5,312,600,,,,,
5,3.40,67,57,358,-30,30.2,228,321,,,,,
5,3.40,56,61,383,-25.6,34.6,190,367,,,,,
5,3.40,49,63,396,-17.9,42.3,167,392,,,,,
5,3.40,51,62,390,-20.9,39.3,173,379,,,,,
5,3.40,54,61,383,-24.7,35.5,184,367,,,,,
3,7.40,94,143,898,-9,51.2,696,1211,,,,,
3,7.40,92,144,905,-9.9,50.3,681,1228,,,,,
3,7.40,91,146,917,-12.9,47.3,673,1262,,,,,
3,7.40,89,145,911,-13.5,46.7,659,1245,,,,,
3,7.40,89,144,905,-12.3,47.9,659,1228,,,,,
3,7.15,88,139,873,-8.6,51.6,629,1144,,,,,
3,7.15,85,140,880,-12,48.2,608,1161,,,,,
