Time (s),Current (mA),Peak Frequency,Omega (rad/s),Depth Measured (mm),Total Depth (mm),Final Power (mW),
60,176,108,679,-8.4,51.8,1302,
60,162,115,723,-2.5,57.7,1199,
60,162,116,729,5.9,66.1,1199,
60,162,117,735,3.5,63.7,1199,
60,162,119,748,-2.2,58,1199,
15,156,120,754,-4.2,56,1154,
15,159,119,748,3.5,63.7,1177,
15,156,119,748,6,66.2,1154,
15,159,118,741,16,76.2,1177,
15,157,119,748,3.5,63.7,1162,
120,157,116,729,0.5,60.7,1162,
120,157,116,729,3,63.2,1162,
120,156,116,729,1.5,61.7,1154,
120,157,116,729,3.3,63.5,1162,
120,156,116,729,4.5,64.7,1154,
