time_s,displacement_pixels,displacement_cm,match_score
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.668197579154725649e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.995133280754089355e-01
3.336395158309451298e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.990459084510803223e-01
5.004592737464177293e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.988194704055786133e-01
6.672790316618902595e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.985865354537963867e-01
8.340987895773628591e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.983654022216796875e-01
1.000918547492835459e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.982305765151977539e-01
1.167738305408307919e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.981507658958435059e-01
1.334558063323780519e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.980144500732421875e-01
1.501377821239253119e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.979398846626281738e-01
1.668197579154725718e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.980242252349853516e-01
1.835017337070198318e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.979423284530639648e-01
2.001837094985670917e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.979151487350463867e-01
2.168656852901143239e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.979757070541381836e-01
2.335476610816615839e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.979866743087768555e-01
2.502296368732088716e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.980241656303405762e-01
2.669116126647561038e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.979652166366577148e-01
2.835935884563033360e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.979805350303649902e-01
3.002755642478506237e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.972536563873291016e-01
3.169575400393978559e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.972534179687500000e-01
3.336395158309451436e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.973078966140747070e-01
3.503214916224923758e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.972361326217651367e-01
3.670034674140396636e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.971758127212524414e-01
3.836854432055868958e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.970889687538146973e-01
4.003674189971341835e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.971552491188049316e-01
4.170493947886814157e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.971234798431396484e-01
4.337313705802286479e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.969232678413391113e-01
4.504133463717759356e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.968197941780090332e-01
4.670953221633231678e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.966530799865722656e-01
4.837772979548704555e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.966211318969726562e-01
5.004592737464177432e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.965509772300720215e-01
5.171412495379649199e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.964802265167236328e-01
5.338232253295122076e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.964888691902160645e-01
5.505052011210594953e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.964400529861450195e-01
5.671871769126066720e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.964802861213684082e-01
5.838691527041539597e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.965547323226928711e-01
6.005511284957012474e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.965223670005798340e-01
6.172331042872485352e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.964481592178344727e-01
6.339150800787957118e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.964593052864074707e-01
6.505970558703429996e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.964404106140136719e-01
6.672790316618902873e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.963070154190063477e-01
6.839610074534375750e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.962787032127380371e-01
7.006429832449847517e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.961346983909606934e-01
7.173249590365320394e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.959151148796081543e-01
7.340069348280793271e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.958311319351196289e-01
7.506889106196265038e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.955494999885559082e-01
7.673708864111737915e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.951913356781005859e-01
7.840528622027210792e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.946783185005187988e-01
8.007348379942683669e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.938801527023315430e-01
8.174168137858155436e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.939782619476318359e-01
